X,Y,SurveyID,SurveyNumber,MagAnomaly,uncertainty
35568.8101471323,1978451.04007501,FRNL85-4,33,82.4000000000029,61
36120.5724900686,1978415.90537479,FRNL85-4,33,85.6000000000015,61
36682.9537004802,1978380.5377714,FRNL85-4,33,89.7000000000015,61
37234.452897403,1978334.34520493,FRNL85-4,33,90.9,61
37785.9508530087,1978288.16853832,FRNL85-4,33,90.9999999999986,61
38337.7062823627,1978253.09736328,FRNL85-4,33,87.1999999999971,61
38900.0804126521,1978217.79449302,FRNL85-4,33,82.2999999999971,61
39451.5739924297,1978171.66569592,FRNL85-4,33,77.4000000000029,61
40003.0663454551,1978125.55279421,FRNL85-4,33,75.6000000000015,61
40554.8149202077,1978090.54512819,FRNL85-4,33,76.8,61
41116.9249060306,1978044.21769671,FRNL85-4,33,81.8999999999985,61
41668.6700518251,1978009.24192955,FRNL85-4,33,91.9999999999986,61
42220.1568609626,1977963.19277539,FRNL85-4,33,109.099999999997,61
42771.8986401007,1977928.24860225,FRNL85-4,33,127.300000000003,61
43323.638584218,1977893.32019359,FRNL85-4,33,144.300000000003,61
43885.7413120941,1977847.07383862,FRNL85-4,33,160.500000000001,61
44437.4778642792,1977812.1773188,FRNL85-4,33,172.6,61
44988.9576785484,1977766.20771834,FRNL85-4,33,183.799999999999,61
45540.4363024434,1977720.25400213,FRNL85-4,33,193.899999999997,61
46102.7880097493,1977685.16135609,FRNL85-4,33,200.000000000003,61
11959.0330196652,1990318.59799565,U371CB,74,-24.3999999999942,81
11962.7685918272,1990041.0159788,U371CB,74,-31.7999999999956,81
11965.9549732732,1989741.24858029,U371CB,74,-37.5,81
11969.6930883665,1989463.66675656,U371CB,74,-40.1999999999971,81
11962.8144297278,1989186.34837748,U371CB,74,-42.9000000000015,81
11966.5548516625,1988908.7667048,U371CB,74,-45.4000000000015,81
11970.2965017649,1988631.18512642,U371CB,74,-47.5999999999985,81
11974.0393799909,1988353.60364233,U371CB,74,-44.4000000000015,81
11977.5085318082,1988064.92952698,U371CB,74,-41.3000000000029,81
11980.7040910411,1987765.16278729,U371CB,74,-34,81
11984.175919002,1987476.48887201,U371CB,74,-26.8000000000029,81
11977.8544624623,1987221.35630232,U371CB,74,-18.0999999999985,81
11981.0538488927,1986921.58982142,U371CB,74,-9.09999999999854,81
11984.8041179331,1986644.00887466,U371CB,74,-0.80000000000291,81
11988.5556147737,1986366.42802221,U371CB,74,7.59999999999854,81
11992.3083393633,1986088.84726405,U371CB,74,13.1999999999971,81
11996.0622916535,1985811.26660019,U371CB,74,18.1999999999971,81
11999.26834038,1985511.5006182,U371CB,74,21.9000000000029,81
12002.7503139377,1985222.82744361,U371CB,74,25.6999999999985,81
11995.6133083583,1984934.41715655,U371CB,74,27.3000000000044,81
11999.3721941988,1984656.83684145,U371CB,74,28.0000000000015,81
12003.6810998076,1984401.44201731,U371CB,74,29.1999999999985,81
12006.8936482608,1984101.67649416,U371CB,74,30.9000000000029,81
